#{"t_start": 1747307122.818335, "env_id": "None"}
r,l,t
166066.616725,52,57.118327
166482.083298,52,57.127078
163088.346738,52,57.135841
161919.045068,52,57.144609
164315.916276,52,57.153345
166189.614733,52,57.16208
165405.974112,52,57.170787
165884.584508,52,57.179473
165309.129857,52,57.188203
164077.67513,52,57.196908
162547.259081,52,57.205609
163174.65584,52,57.214303
165854.362932,52,57.223021
163905.710042,52,57.231694
165613.065896,52,57.240429
164149.983336,52,57.249135
164911.959176,52,57.476137
163714.596283,52,57.485603
165578.594934,52,57.494915
164637.055738,52,57.504776
165317.312746,52,57.514131
166415.314464,52,57.523752
163212.934746,52,57.533101
165120.683946,52,57.542685
162058.816094,52,57.552036
163693.95643,52,57.561463
164492.333238,52,57.570668
165558.793302,52,57.579884
165534.679484,52,57.588984
164806.958138,52,57.598061
164736.31327,52,57.607118
166127.515401,52,57.616177
162978.085251,52,57.625242
162917.147285,52,57.634335
164397.148985,52,57.643403
164740.957246,52,57.652487
164348.175028,52,57.661535
163555.851887,52,57.670576
165605.866298,52,57.679289
164994.744709,52,57.68803
162354.411614,52,57.696745
165351.584225,52,57.705466
164384.999796,52,57.714172
165401.309562,52,57.722887
167400.811818,52,57.731634
164523.657966,52,57.74034
163083.28807,52,57.749047
166166.928433,52,57.757751
164595.305121,52,57.766438
163130.905686,52,57.775134
164274.389568,52,57.783825
163625.867222,52,57.792518
165160.45344,52,57.801162
165002.561057,52,57.809861
164413.438643,52,57.818552
164051.894086,52,58.041682
164581.554006,52,58.051253
164782.576698,52,58.060984
162950.829266,52,58.070518
168134.764603,52,58.079861
165343.247108,52,58.089266
165651.648602,52,58.098862
163908.931798,52,58.10833
166450.318485,52,58.117646
166288.745342,52,58.126901
165517.898916,52,58.136281
163365.557235,52,58.14577
165229.878011,52,58.155151
163203.90091,52,58.164303
164292.106769,52,58.173424
166531.732203,52,58.182516
164193.252787,52,58.191588
165191.798311,52,58.200638
166390.454309,52,58.209661
164941.990174,52,58.218699
164245.377296,52,58.22773
165584.357265,52,58.236798
164351.040738,52,58.245683
165807.69175,52,58.254479
165378.754097,52,58.263211
164285.964256,52,58.271928
165030.830849,52,58.280667
167364.956092,52,58.289421
166226.222465,52,58.298149
166267.134148,52,58.306898
166366.734981,52,58.315661
164676.182198,52,58.324378
165202.614345,52,58.333125
165367.105205,52,58.341892
165517.791819,52,58.350606
163693.984378,52,58.359387
165767.990192,52,58.368121
164451.137754,52,58.376888
167528.724838,52,58.385591
165971.572434,52,58.394339
167824.189533,52,58.610823
164593.319238,52,58.620205
165723.209076,52,58.629776
167075.066064,52,58.639003
164035.993468,52,58.648167
163515.43749,52,58.657855
164084.911355,52,58.667209
165200.470008,52,58.676661
166020.288137,52,58.68594
164553.336502,52,58.695253
162302.458185,52,58.7046
165336.322861,52,58.71396
166567.885502,52,58.723062
166883.507421,52,58.732096
161901.344369,52,58.741152
165890.307874,52,58.750178
164070.630253,52,58.759243
164577.556533,52,58.768274
164841.840777,52,58.777301
164681.075623,52,58.786313
164166.378554,52,58.795626
166167.733272,52,58.80476
165632.027438,52,58.813555
164081.420644,52,58.822361
162423.437368,52,58.831132
165278.06292,52,58.839867
165041.98089,52,58.848608
164824.612212,52,58.857333
166734.720737,52,58.866066
165928.533232,52,58.874762
164951.862814,52,58.883487
160591.044913,52,58.892209
163682.960914,52,58.90095
166030.491048,52,58.909714
163546.18144,52,58.918442
168047.082529,52,58.92717
166683.785073,52,58.935901
166522.646117,52,58.944622
164536.669747,52,58.953394
166412.814759,52,59.177714
167961.715119,52,59.187519
167009.731214,52,59.19709
163404.457743,52,59.206514
164149.794518,52,59.215954
168628.879666,52,59.225673
166262.950398,52,59.235123
166041.090037,52,59.244482
162832.052778,52,59.253907
165221.968518,52,59.263246
