#{"t_start": 1745835308.462683, "env_id": "None"}
r,l,t
142708.506376,52,15.371049
142127.180788,52,15.386561
142808.773047,52,15.401457
142630.556829,52,15.416103
142372.58381,52,15.43237
142065.554442,52,15.447815
142660.818391,52,15.465075
141771.727924,52,15.481039
142554.455696,52,15.496729
142725.406392,52,15.514827
142995.82001,52,15.530155
142459.008286,52,15.545576
142316.865037,52,15.56022
142287.55011,52,15.575103
142496.471566,52,15.590566
141561.290964,52,15.605804
142560.195729,52,15.621346
142433.948419,52,15.636513
142919.417949,52,15.651333
142581.696744,52,15.667729
142709.21575,52,15.682551
141388.64118,52,15.697807
142104.918277,52,15.713712
141889.158629,52,15.729401
142572.297465,52,15.745697
142517.80355,52,15.761626
142608.260157,52,15.777888
142514.616969,52,15.793759
142505.121993,52,15.809344
142574.120828,52,15.825957
143335.211457,52,15.84101
142818.748034,52,15.856343
142715.461859,52,15.870981
142961.415346,52,15.885835
142974.986629,52,15.901173
142673.639191,52,15.915873
141988.706501,52,15.931066
142361.53772,52,15.945703
141999.60655,52,15.961317
142739.374816,52,15.976759
142844.811681,52,15.991468
142855.442172,52,16.006801
142105.922637,52,16.022019
142033.054701,52,16.037535
142017.069649,52,16.054055
142516.825314,52,16.069626
142525.348868,52,16.085847
142396.187482,52,16.10134
141895.918303,52,16.117579
142757.325064,52,16.133028
142781.128479,52,16.147637
142357.069401,52,16.163446
142425.315266,52,16.178429
142525.631196,52,16.193087
142819.918473,52,16.208346
142025.955958,52,16.222938
142163.621371,52,16.238152
143169.814222,52,16.253831
143303.249049,52,16.268648
142573.611788,52,16.283973
142795.925438,52,16.298713
143037.248137,52,16.314065
142514.390773,52,16.329233
142163.214379,52,16.344938
143127.940914,52,16.361102
142191.724272,52,16.37653
141909.962803,52,16.392808
142384.702217,52,16.409192
142211.179939,52,16.42424
141754.881766,52,16.439612
142681.517074,52,16.454319
142533.616098,52,16.469579
142290.749114,52,16.484273
142847.556597,52,16.498924
142734.60878,52,16.514395
143150.852219,52,16.529417
142362.212195,52,16.544796
142318.938175,52,16.560036
142367.634947,52,16.57473
142332.827064,52,16.589985
141829.490426,52,16.604602
142855.722391,52,16.620681
142472.917608,52,16.636265
143588.942939,52,16.651531
142280.970132,52,16.667829
142770.424428,52,16.683368
143186.657744,52,16.700435
143467.687809,52,16.715702
142176.115085,52,16.730742
142236.288283,52,16.746012
142000.576798,52,16.760589
142090.541398,52,16.775748
142473.97643,52,16.790329
141846.269111,52,16.804907
142642.699663,52,16.820065
141866.422221,52,16.834595
143026.858982,52,16.850674
142308.410887,52,16.865354
142592.50438,52,16.879976
142897.913334,52,16.895178
142604.680485,52,16.910222
143174.796338,52,16.926116
142496.261172,52,16.941865
142681.3522,52,16.95756
142698.803494,52,16.974276
142785.882866,52,16.990609
143445.739095,52,17.006871
142465.805595,52,17.022636
142633.369624,52,17.037619
142639.250131,52,17.055007
142832.039282,52,17.070059
142352.389009,52,17.085379
142652.714918,52,17.100295
142173.043318,52,17.114995
142830.576413,52,17.130291
142232.059759,52,17.145905
142635.076173,52,17.1615
142472.508803,52,17.177171
141882.66508,52,17.192731
142325.248354,52,17.208899
142392.391027,52,17.225096
142083.691514,52,17.241762
142253.303919,52,17.259177
142993.380594,52,17.276087
142316.790303,52,17.293172
142358.50197,52,17.311227
142583.766299,52,17.328211
143170.187207,52,17.345223
142102.110283,52,17.363415
143039.415585,52,17.380819
143109.921005,52,17.397346
