#{"t_start": 1745774387.514453, "env_id": "None"}
r,l,t
185493.252355,50,239.284812
174698.468316,50,239.296324
179907.156083,50,239.308466
159678.360489,50,239.319745
174543.939821,50,239.332129
181634.146171,50,239.343671
188734.789162,50,239.355675
182690.345187,50,239.366863
182755.312187,50,239.37917
176188.751536,50,239.390311
173329.831928,50,239.401827
183856.817017,50,239.412872
175098.825283,50,239.424675
176522.098369,50,239.435622
176255.065109,50,239.447075
175180.588147,50,239.458056
176829.354087,50,239.469993
167618.742866,50,239.480963
179395.487861,50,239.493017
168888.820232,50,239.5045
172598.669843,50,239.516877
177067.10314,50,239.52833
175946.12874,50,239.540457
177156.190036,50,239.552201
168561.801112,50,239.564594
177294.304006,50,239.576247
176088.864076,50,239.588311
175117.504074,50,239.599586
170207.348258,50,239.611944
176900.245521,50,239.623164
173287.293119,50,239.635008
176887.370446,50,239.646094
175622.127158,50,239.65798
175147.413339,50,239.669112
175807.516425,50,239.680455
167389.959817,50,239.691403
155893.257059,50,239.703265
156588.910271,50,239.714434
156193.332321,50,239.726315
168113.89429,50,239.737768
171264.11848,50,239.750116
165513.001557,50,239.761918
172401.308916,50,239.774043
183284.84481,50,239.785528
163253.312175,50,239.798048
178451.847501,50,239.809575
172856.90776,50,239.82144
175156.910564,50,239.832605
181669.481246,50,239.844982
154860.369345,50,239.856072
178772.241093,50,239.86745
179667.003987,50,239.878477
146965.294023,50,239.890381
177639.810045,50,239.901878
184122.90186,50,239.9138
184058.548656,50,239.925105
185923.37503,50,239.937056
184682.763545,50,239.94812
181611.84107,50,239.959694
169222.054988,50,239.971131
174911.951255,50,239.983632
180507.70191,50,239.995214
180375.824389,50,240.007352
181321.423343,50,240.019043
184004.0836,50,240.031695
181108.032241,50,240.04329
181363.178748,50,240.055135
179116.706902,50,240.066328
184991.460329,50,240.078589
185623.824904,50,240.089523
179967.421603,50,240.101022
177432.834908,50,240.112031
171703.0054,50,240.123938
184367.075922,50,240.135068
179707.677215,50,240.14658
184196.067621,50,240.157665
188677.232625,50,240.169491
181890.198255,50,240.180543
165369.823688,50,240.192446
186683.65447,50,240.203877
180053.756305,50,240.216394
179575.741716,50,240.227855
180282.22778,50,240.239677
186918.20463,50,240.251309
183698.880248,50,240.263839
171708.073855,50,240.275157
182297.516435,50,240.287037
184205.598733,50,240.298334
179230.108874,50,240.310546
169948.118958,50,240.321649
170342.128583,50,240.333043
156474.880249,50,240.34417
146988.861388,50,240.355936
158903.415208,50,240.36711
164226.308639,50,240.378603
173522.770062,50,240.389755
175400.178167,50,240.401628
168054.879019,50,240.412621
157045.096071,50,240.424762
179509.610259,50,240.436204
162385.548801,50,240.448545
157614.455593,50,240.46007
157898.604049,50,240.472102
129001.694677,50,240.483639
180967.701301,50,240.49586
184425.574598,50,240.507196
179399.322319,50,240.519006
152305.039549,50,240.530102
177838.114214,50,240.542335
176268.319609,50,240.553282
177930.893583,50,240.564617
181783.237415,50,240.575621
162018.808113,50,240.587353
174374.505336,50,240.598355
180244.064707,50,240.609828
181440.640369,50,240.621149
176862.212285,50,240.633135
182963.301625,50,240.644903
187228.241071,50,240.656909
184787.41979,50,240.668571
179834.214111,50,240.680872
177600.176378,50,240.692409
170752.317106,50,240.704361
182643.562415,50,240.715669
183188.297972,50,240.728205
149856.880419,50,240.739868
157420.043481,50,240.751911
190472.034477,50,240.763017
179579.86579,50,240.775295
181080.461877,50,240.786436
182854.796815,50,240.799275
182925.365737,50,240.813583
157285.334983,50,240.835525
186325.019038,50,240.847067
193127.036406,50,240.866396
189237.709108,50,240.882036
186099.202567,50,240.896124
191207.106985,50,240.908874
191498.964699,50,240.921497
169852.205349,50,240.933799
194309.491103,50,240.946455
187461.525085,50,240.958505
194127.796099,50,240.97104
189392.413762,50,240.983236
181524.285875,50,240.995451
189013.954241,50,241.006724
175755.299179,50,241.018274
175919.497028,50,241.029238
180131.496886,50,241.041592
185609.475759,50,241.052678
191407.813674,50,241.064389
188073.791605,50,241.075449
181847.715056,50,241.087611
188878.2334,50,241.100075
187608.227876,50,241.113337
179280.903302,50,241.125548
177160.257465,50,241.140648
181218.448586,50,241.152575
171005.260843,50,241.192645
182017.1929,50,241.214534
184864.361475,50,241.227224
182863.356833,50,241.238601
189880.93365,50,241.250125
188595.508165,50,241.261612
166829.316132,50,241.274001
176537.523901,50,241.285203
186124.228442,50,241.29671
171859.645467,50,241.308575
182589.729209,50,241.3225
187863.557749,50,241.333906
167855.916611,50,241.345779
172022.335766,50,241.357387
178843.419382,50,241.369514
184292.804785,50,241.381654
184731.848817,50,241.393559
187360.559482,50,241.405105
175581.218736,50,241.417641
177797.682589,50,241.429296
179710.335847,50,241.441324
180732.759915,50,241.452519
182098.171862,50,241.464706
177207.311899,50,241.475643
183998.786918,50,241.487156
185565.319454,50,241.498204
183529.726672,50,241.510308
183855.613507,50,241.521733
181985.371667,50,241.533262
174864.24729,50,241.54427
172890.965189,50,241.55678
180255.947835,50,241.568228
181663.645557,50,241.58028
176134.504305,50,241.591787
187202.450389,50,241.604394
174778.287801,50,241.616275
157356.387892,50,241.628227
166612.83751,50,241.639986
174265.313671,50,241.65222
177805.778358,50,241.663738
174510.725302,50,241.676806
168535.571023,50,241.688822
180911.55055,50,241.700737
178023.971887,50,241.711865
183816.421342,50,241.723098
181061.557178,50,241.733937
177602.385937,50,241.745825
184748.493321,50,241.756747
177110.150649,50,241.768132
170949.80897,50,241.779063
183606.569605,50,241.791196
181596.78633,50,241.802305
181701.164726,50,241.813953
182803.999657,50,241.825563
181204.199686,50,241.838124
183176.573729,50,241.849667
178567.904408,50,241.861748
181397.470968,50,241.873485
170669.084203,50,241.885753
184717.711764,50,241.896884
179090.9783,50,241.908816
176912.051566,50,241.919943
180310.053714,50,241.932019
179028.00717,50,241.942939
178550.800869,50,241.954456
183144.770731,50,241.965334
172111.991113,50,241.977368
175185.520419,50,241.98834
180694.746651,50,241.999616
179386.642169,50,242.010552
178142.93478,50,242.022711
149482.404848,50,242.033692
191672.654826,50,242.045893
157214.051995,50,242.05751
195991.218427,50,242.070152
185823.364842,50,242.081697
187043.984707,50,242.093397
183457.234614,50,242.104935
193734.455277,50,242.117267
186116.71432,50,242.128757
183526.419244,50,242.140584
